2022-05-16 11:05:168 INFO  ManageDriver :34 - Launching Chrome Browser
2022-05-16 11:05:501 INFO  ManageDriver :34 - Launching Chrome Browser
2022-05-16 11:05:82 INFO  ManageDriver :34 - Launching Chrome Browser
2022-05-16 11:05:85 INFO  HomePage :50 - Click on Login link[[ChromeDriver: chrome on WINDOWS (125e8532623eabb3e4aec41f46f30145)] -> xpath: //a[@title='Log in to your customer account']]
2022-05-16 11:05:131 INFO  SignInPage :42 - Entering email :[[ChromeDriver: chrome on WINDOWS (125e8532623eabb3e4aec41f46f30145)] -> id: email]
2022-05-16 11:05:182 INFO  SignInPage :46 - Entering password :[[ChromeDriver: chrome on WINDOWS (125e8532623eabb3e4aec41f46f30145)] -> id: passwd]
2022-05-16 11:05:312 INFO  SignInPage :51 - click on Sign in button[[ChromeDriver: chrome on WINDOWS (125e8532623eabb3e4aec41f46f30145)] -> id: SubmitLogin]
2022-05-16 11:05:337 INFO  SignInPage :79 - verify text Authentication Error[[ChromeDriver: chrome on WINDOWS (125e8532623eabb3e4aec41f46f30145)] -> xpath: //div[@class='alert alert-danger']//li]
2022-05-16 11:05:180 INFO  ManageDriver :34 - Launching Chrome Browser
2022-05-16 11:05:471 INFO  HomePage :50 - Click on Login link[[ChromeDriver: chrome on WINDOWS (80232e49c2c8233e08f3675d9454ccc5)] -> xpath: //a[@title='Log in to your customer account']]
2022-05-16 11:05:549 INFO  SignInPage :42 - Entering email :[[ChromeDriver: chrome on WINDOWS (80232e49c2c8233e08f3675d9454ccc5)] -> id: email]
2022-05-16 11:05:618 INFO  SignInPage :46 - Entering password :[[ChromeDriver: chrome on WINDOWS (80232e49c2c8233e08f3675d9454ccc5)] -> id: passwd]
2022-05-16 11:05:02 INFO  SignInPage :51 - click on Sign in button[[ChromeDriver: chrome on WINDOWS (80232e49c2c8233e08f3675d9454ccc5)] -> id: SubmitLogin]
2022-05-16 11:05:35 INFO  SignInPage :79 - verify text Authentication Error[[ChromeDriver: chrome on WINDOWS (80232e49c2c8233e08f3675d9454ccc5)] -> xpath: //div[@class='alert alert-danger']//li]
2022-05-16 11:05:928 INFO  ManageDriver :34 - Launching Chrome Browser
2022-05-16 11:05:698 INFO  HomePage :50 - Click on Login link[[ChromeDriver: chrome on WINDOWS (60b3d827aef8f1a5bd47928923a5b7b1)] -> xpath: //a[@title='Log in to your customer account']]
2022-05-16 11:05:758 INFO  SignInPage :42 - Entering email :[[ChromeDriver: chrome on WINDOWS (60b3d827aef8f1a5bd47928923a5b7b1)] -> id: email]
2022-05-16 11:05:819 INFO  SignInPage :46 - Entering password :[[ChromeDriver: chrome on WINDOWS (60b3d827aef8f1a5bd47928923a5b7b1)] -> id: passwd]
2022-05-16 11:05:724 INFO  SignInPage :51 - click on Sign in button[[ChromeDriver: chrome on WINDOWS (60b3d827aef8f1a5bd47928923a5b7b1)] -> id: SubmitLogin]
